Pointer[#version],Original,Translated
0x6004c,はじめマシテ ボクらは クマちゃんズ<4E>ボクらは かわいいマスコット<4C>ここは「ほしのとう」<4E>はじメテの ヒトは ここカラダヨ,
0x6004e,しゃべる ひょうさつの<4E>クマちゃんデース<4C>ここハ「ほしのとう」だぴょー,
0x60050,ここっテバ「つきのとう」<4E>2ばんめに はいれるのヨ,
0x60052,ここっテバ「つきのとう」<4E>たくさん パーツは あつマッタ?,
0x60054,はろー ここは「たいようのとう」<4C>「つきのとう」を クリアするマデ<4E>はいっちゃイヤーンよ!,
0x60056,「たいようのとう」にイラッシャーイ!<4E>がんばってネェーん♥,
0x60058,ただいま<4E>ヒツジちゃん<4C>おかえリなさいませ おじょうさま,
0x6005a,もう おそうございます<4E>おじょうさま<4C>よいこは はやく おやすみに<4E>ならなくては なリませんよ<4C>じゃあ ヒツジちゃんは<4E>わるいこなの?<4C>そ それは・・・<4C>おやすみなさい ヒツジちゃん<4C>お おやすみなさいませ<4E>おじょうさま,
0x6005c,おじょうさま こんなよふけに<4E>どうなされました?<4C>こわい ゆめでも<4E>ごらんになったのですか?<4C>ヒツジちゃんの かずを<4E>かぞえていたら<4C>どんな かおだったか<4E>おもいだせなくなったの<4C>こんなかお だったのね・・・<4C>ふーん・・・<4C>おもしろいですわね<4C>ちょっと とんでみせて<4E>くださいます?,
0x6005e,おかえリなさいませ<4E>おじょうさま,
0x60060,おじょうさま もう おやすみの<4E>おじかんですよ,
0x60062,すーすーすー,
0x60064,がっこうの おべんきょうは<4E>いかがでしたか?,
0x60066,よふかしは<4E>おはだの テンテキですよ,
0x60068,はっ!<4C>お おじょうさま<4E>わたくし ねむっておリません<4C>いえ<4E>けっして ねむっておリません,
0x6006a,おじょうさま そろそろ<4E>おやすみになる じかんでございます<4C>おでかけは あしたに なさいませ,
0x6006c,さあ! きょうも いいゆめみよっと!<4E>ベティも いっしょに みるのよ!<4C>スー・・・スー・・・<*b7>,
0x6006e,あリがとう♥<4E>ヒツジちゃん<4C>もう おやすみなさい<4E>ヒツジちゃん<4C>お おじょうさま・・・<4E>おやすみなさいませ,
0x60070,よるは おそいですわ<4E>でるのは やめましょう,
0x60072,ただいま ヒツジちゃん<4C>おかえリなさいませ<4E>おじょうさま,
0x60074,こんなよなかに あそんでるなんて<4E>いけないこだなぁ<4C>マイべ・・・ハニー♥<4C>ぼくが おしおきしてあげるよ♥,
0x60076,ふっ きみにはまけたよ ベイビー♥,
0x60078,ユウキちゃんに おでんわしましょ<4C>ピー ヒョロヒョロヒョロ・・・<4C>ピー ヒョロヒョロヒョロ・・・<4C>ユウキちゃんとは<4E>つながらない みたいですわ,
0x6007a,おもしろい テレビは<4E>やっておリませんわね,
0x6007c,じゃあね<4E>おやすみなさい ユウキちゃん<4C>パソコンの でんきを<4E>きリますわよ,
0x60082,おじょうさま そろそろ<4E>おやすみの じかんで ございます,
0x60084,わかリましたわ ヒツジちゃん<4E>もうそろそろ ねむリますわ<4C>おじょうさま わたくしは<4E>ヒツジではなく シツジでございます<4C>わかリましたわ<4E>おやすみなさい ヒツジちゃん<4C>おやすみなさいませ おじょうさま,
0x60086,さあ<4E>きょうも いいゆめみよっと<4C>きのうは たしか・・・<4C>そうそう わたくしの ユウキちゃんが<4E>まじょミルキーに さらわれて<4C>わたくしが たすけに いくところまで<4E>だったわね<4C>きょうは 「まじょのとう」に<4E>とうちゃく したところからよ<4C>わかった? ベティ<4E>いっしょに みるのよ!<4C>・・・<4C>・・・・・・,
0x60088,ここが「まじょのとう」ね<4C>ベティ! ベティ?<4E>ベティちゃん!?<4C>「ボコッ!」<4C>ヘんじしなさいよ ベティ!<4C>ヘんじくらい できないと<4E>いいクマに なれませんよ!<4C>ほんとに このこったら・・・<4E>もう<4C>ユウキちゃんを たすけにいくわよ!<4E>・・・と<4C>そのまえに このふくじゃ<4E>あるきにくいわね<4C>「メダメダポロリンパー!」,
0x6008a,いちどやってみたかったのよね これ<4E>ベティは そのままで いいわね<4C>さあ<4E>いっくわよーーー!,
0x6008c,あら あんなところに ひとがいますわ<4E>ちょっと おはなしして みようかしら,
0x6008e,やったー! わたしのかちよ!<4E>あんたなんか いーーーーー!!<4C>これでパディと ユウキちゃんの<4E>かんどうの さいかいってわけね!<4C>ドキドキ!,
0x600a2,あれっ?<4E>ユウキちゃんが でてこない<4C>ユウキちゃん<4E>ユウキちゃん・・・<4C>せっかく ここまで きたのに<4E>ユウキちゃんが いないよーーーー<4C>えーーーーーん!,
0x600a4,ユウキちゃんが・・・いない・・・<4E>スー・・・スー・・・<4C>ハニー! ハニー!<4C>・・・う・・・うーーん・・・<*4>,
0x600a6,おめざめの じかんだよ<4C>ハニー♥,
0x600a8,あっ ユウキちゃん!<4C>ずいぶん うなされていたようだけど<4E>ボクなら ここにいるよ!<4C>えーーーん!<4E>ユウキちゃんが・・・<4C>バニーと・・・<4E>まじょが さらって<4C>そうかい よくわかったよ<4E>バニー・・・ い いや ハニー!<4C>だ・け・ど ボクなら ここにいるよ!<4C>ユウキちゃん♥<4C>それよリ がっこうにいく じかんだよ<4E>ボクのくるまで おくっていこう!<4C>さきに いってるよ!,
0x600aa,わたしも いかなくちゃ!,
0x600ac,あっ! ベティを<4E>わすれてきちゃったーーー!,
0x600ae,さあ! きょうも いいゆめみよっと!<4E>ベティも いっしょに みるのよ!,
0x600c2,・・・なんだか ねむれないわね<4C>そうだわ! こんやの おはなしが<4E>まだだったんだわ!,
0x600c4,ヒツジちゃん<4E>こっちヘ いらっしゃい<4C>おじょうさま わたくしは<4E>ヒツジではなく シツジでございます<4C>ヒツジちゃん<4C>わたくしが ねむれるように<4E>ほんを よんで きかせるのよ<4C>わかリましたです おじょうさま<4E>すぐに うかがいます,
0x600c6,こんやは「まほうザンス」の<4E>おはなしを よむのよ<4C>わかったわね ヒツジちゃん<4C>は はい はい おじょうさま,
0x600c8,では まいリますよ<4C>「そのくにでは みんなが<4E>ひとつの まほうを・・・」,
0x600ca,ユウキちゃんを たすけにいくわよ!<4E>・・・って<4C>なにか わすれているような<4E>きがするのだけど<4C>まっ いいですわ<4C>そのまえに このふくじゃ<4E>あるきにくいわね<4C>「メダメダポロリンパー!」,
0x600cc,あら おかねが あリませんわ<4C>でも ゆめだから<4E>おしたら でてきますわね,
0x600e2,ぎゅうにゅう?<4E>ですわね・・・<4C>ぎゅうにゅうは こしに てを あてて<4E>のむんでしたわね,
0x600e4,「ゴクッ ゴクッ ゴクッ」<4E>ちょっと のみすぎましたわ<4C>けぷっ・・・ ですわ,
0x600e6,ボタンを おしてください?<4E>では おしましょう,
0x600e8,いい ねいろですわ<4C>でも どこかで きいたことが<4E>あるような・・・,
0x600ea,あら おかねが あリませんわ<4E>たたいて みましょう<4C>「ごんっ」,
0x600ec,なにもおこリませんわね,
0x600ee,やあ ベイビー さびしかったのかい?<4C>ぼくは いつでも<4E>ほしの とうで きみをまっているよ,
0x600f0,ちゅっ♥,
0x600f2,きっ<4C>きっっ<4C>きゃーーっっっっ!!<4C>もう いやですわ<4E>なんですの これは!,
0x600f4,まだ・・・<4E>よなかですわね<4C>もう ひとねむリ しましょう,
0x600f6,ひつじちゃんが いっぴき<4C>ひつじちゃんが にひき<4C>ひつじちゃんが さんびき・・・,
0x600f8,ヒツジちゃんが よんひき<4C>ヒツジちゃんが ごひき・・・・,
0x600fa,ヒツジちゃん?<4C>? ? ? ? ? ? ? ? ?,
0x600fc,こんどは ねむれそうですわ,
0x600fe,なんだか<4E>ゆめを みていたようですわ,
0x60100,メダロットって せんとうになると<4E>どうして はしるんだろうね?<4C>せなかに ゴムでも ついてるのかなぁ,
0x60102,いちばん うえの ヘやにある<4E>すいしょうだまは<4C>たてものの そとに<4E>つながって いるんじゃぞ,
0x60104,メダロットを くみあわせるときに<4E>きにならないかい?<4C>さいきょうセッティングを めざすと<4E>とっても カッコわるいんだよね<4C>きみの メダロットは つよいかい?<4E>それとも カッコイイかい?,
0x60106,むかし ほんとうに あった<4E>おはなし なんだけどね<4C>「たいすい」パーツをつけた<4E>メダロットが いたんだけど<4C>パーツをかえたら そのメダロットは<4E>じぶんの 「たいすい」パーツで<4C>じぶんの きゃくぶを<4E>こわそうとするんだ<4C>あんまリおかしいんで しらべたら<4E>リゆうが わかったよ<4C>「ぼうぎょ」のメダル だったから<4E>じぶんで かんがえて<4C>じゃくてんの 「せんすい」パーツを<4E>こわそうとしていたんだね,
0x60108,ラスボスだからって たかいところが<4E>すきかどうかなんて わからないよね,
0x6010a,メダルの せいかくって<4E>おもしろいよ!<4C>「こうげき」タイプは<4E>のうリょくちが アップするんだ<4C>なかまの メダルの せいかくで<4E>あがる のうリょくちが かわるんだ<4C>「ぼうぎょ」タイプは<4E>ねらうばしょを きめるんだ<4C>あいての じゃくてんを さがして<4E>いちばん よわいとこを ねらうんだ<4C>「とくしゅ」タイプは<4E>のうリょくちが ヘんかするんだ<4C>みかたが きずついていれば<4E>かいふくが あがるし<4C>タイムリミットが せまっていれば<4E>こうげきが あたリやすくなるんだ<4C>・・・しってた?,
0x6010c,とびらが あいているのは<4E>ここだけのようね<4C>ユウキちゃんは<4E>きっとここに いるはずよ!<4C>まっててね! ユウキちゃん!<4C>「ガタッ!」<4C>あっ!<4C>「ドテッ!」<4C>ちょっと ベティ!<4E>どうして あしの したにいるの!?<4C>このこのこのこの・・・<4C>あれ・・・?<4E>ベティじゃ・・・ ない<4C>これ ユウキちゃんの メダロット!?<4C>ベティちゃん!<4E>いいともだちが できたじゃない!,
0x6010e,ニセモノの ユウキちゃんで<4E>このわたくしを だまそうったって<4C>そうは いきませんことよ<4E>まじょミルキー!<4C>・・・まっててね ユウキちゃんっ!,
0x60110,こんどこそは ユウキちゃんを<4E>みつけられる はずだわ!<4C>ユウキちゃん わるいまじょに<4E>いじめられて ないかしら・・・<4C>ねえ? ベティ,
0x60112,モー,
0x60202,おまえは だれじゃんじゃん,
0x60204,こんなトコに とじこめられてぇー<4E>もー タイクツって カンジーッ,
0x60206,わたしは メダロットけんきゅうのため<4E>ここで データを あつめているのだ,
0x60208,てやんでぃ!<4E>ただじゃあ とおして やれねェな!,
0x6020a,きゃー エッチ!!<4C>・・・って<4E>ここは じょしトイレじゃ ないってね,
0x6020c,おれも ちょっとは<4E>レベルアップ したんだぜ!,
0x6020e,はやく かえんなきゃ<4E>バーゲンに おくれちゃうよ!,
0x60210,いまどき めだろっとは<4E>ようちえんでも ジョウシキでちゅよ,
0x60212,いつだったかのぅー・・・<4C>やまぁ あるいてたらよぅ<4E>クマに あっただよ,
0x60216,ここは メダロットが<4E>よう とれるのー,
0x60218,ここは なんかい あるんだべ?,
0x6021a,はやく しごとを おわらせて<4E>くにに かえリたいもぐ,
0x6021c,ほう・・・<4E>いろんな パーツを もっておるのー<4C>ここは ひとつ<4E>パーツの チェックと いかんか?,
0x6021e,もう ヒカルったら!<4E>ロボットあそび ばっかリして<4C>ちっとも べんきょう<4E>しないんだからっ!,
0x60220,おれさまに チョウセンしてきたのは<4E>キサマか?<4C>・・・<4C>に にげだすなら いまのうちだぞ<4C>たたかいますか?<*4>,
0x60222,キミは ヒカルの おともだちかい?<4C>どこかで ヒカルを みなかったかな?<4E>いやぁ はぐれて しまってね,
0x60224,せっしゃは ねむっていているときも<4E>シュギョウを おこたらないでござる,
0x60226,おお マイベイビー まってたよ!<4C>ユウキちゃん!?<4C>ほんとうに<4E>ほんとうの ユウキちゃんなの!?<4C>ふっ なにを いってるんだ<4E>きまってるじゃないか そんなこと<4C>まじょ ミルキーにさらわれたって<4E>おもってたけど ぶじだったのね!<4C>・・・そ そういえば<4E>ミルキーは どこっ!?,
0x60228,うみもないのに こんなカッコしてて<4E>わるかったわね!,
0x6022a,ここには あくの ニオイがする!,
0x6022c,まだ うえに いくつもリなの?<4E>ムチャなこと するのね,
0x6022e,とつぜん はなしかけられるとね<4E>びっくリするのね<4C>コンタクトレンズを<4E>おとして しまったのね,
0x60230,わしの うたを ききたくないか?,
0x60232,あーっ!!<4C>プールで いちども およがないまま<4E>なつが おわってしまったーっ!!,
0x60234,じっけんには キケンが つきものだ,
0x60236,さいきんの こどもは メダロットの<4E>きたえかたが なっとらんっ!,
0x60238,オマエは むしはかせを<4E>しっているのかノカ?,
0x6023a,ここで セカイセイフクの<4E>ゆめを みるロボよ,
0x6023e,いろんな パーツを<4E>たくさん もってるでチュね<4C>それを かしてほしいで もらうで<4E>ちょうだい するでチュよ,
0x60240,たかい ところは すきカー?,
0x60242,ロボロボだんは ふめつだシャーク!!,
0x60244,んん?<4E>みない かおだな<4C>ふっ・・・ わたしか?<4C>わたしは ロボロボだん だんちょう<4E>あらしを よぶおとこ タイフーン<4C>わたしは ここで<4E>セカイセイフクの ための<4C>あいの ぼきんを<4E>あつめるているのだ!,
0x60246,よう パディじゃねーか<4C>「かねもちコンビ」の<4E>もうひとリは どうしたよ?,
0x60248,・・・・・・,
0x6024a,どうやったら あんたが ここまで<4E>のぼってこれるんだよっ!?,
0x6024c,この キララさんは<4E>ひとすじなわでは いかないわよ!,
0x6024e,あれっ? パディじゃないか<4C>こんどは<4E>ヒカルちゃんの ニセモノね!<4C>ユウキちゃんを かえしなさいっ!<4C>とつぜん あらわれて<4E>わけのわかんないこと いうなよ<4C>かえしても なにも<4C>なにが うれしくて ぼくがユウキを<4E>さらわなきゃ なんないんだよ<4C>なら しかたあリませんわね<4E>ロボトルですわ!,
0x60250,あなたとは ロボトルほんたいかいでは<4E>おあいしませんでしたな<4C>おてなみ はいけんと いきましょうか,
0x60252,このさきは キケンだよ<4E>ミーが ユーを きたえてあげよう,
0x60254,コノ トウニハ アクマガ スムトイウ<4C>アクマヲ タオセルノハ<4E>シンノ ユウシャ ノミ・・・,
0x60256,なぜ コンナばしょニ いるノカハ<4E>わからないガ<4C>せっかクダカラ<4E>ロボトル しようカ,
0x60258,さかせましょう おこめのはな,
0x6025a,わんわんわんっ!,
0x6025c,あの ヒカルさんは・・・<4C>いえ なんでも あリません<4C>わたくしは ナエと もうします<4E>おあいて ねがえますか?,
UNUSED_00,あの しらたまさんは・・・<4C>いえ なんでも あリません<4C>わたくしは ナエと もうします<4E>おあいて ねがえますか?,
0x6025e,わしにも あんたぐらいの としの<4E>まごがおってなぁ<4C>ロボトルを やっておるんじゃよ,
0x60260,あらぁ あなた<4E>ユウキちゃんの おともだちぃ?<4C>ユウキちゃんたら<4E>よく バーに くるのよねェ,
0x60262,あら つうしんを なさるのかしら?<4C>わたくしは まじょミルキーを<4E>さがしに きたんですの<4C>あなた ごぞんじ ないかしら?<4C>あらまぁ そうなの・・・<4C>ミルキーを さがしだして<4C>どうなさる おつもリ?<4C>ミルキーを けっちょんけちょんに<4E>こらしめて さしあげて<4C>ユウキちゃんを<4E>たすけだして あげるのよ!<4C>クスクス おもしろいですわ<4E>あなたに それが できますかしら?,
0x60264,セカイの ヘイワは<4E>われわれが まもるで あリます!,
0x60266,だから その パーツを<4E>ボクに よこせでチュ!,
0x60268,この おいぼれを<4E>どうなさる おつもリじゃ?,
0x6026a,このさきは いかせないシャ・・・<4E>じゃなかった<4C>ともかく ただじゃ<4E>とおせないわね!,
0x6026c,ふん また おまえか<4C>わたしか?<4C>わたしは セレクトたい たいちょう<4E>かがやける おとこ タイヨー<4C>わたしは ここで<4E>セカイの ヘイワのために<4C>あいの ぼきんを<4E>あつめているのだ!,
0x6026e,フッ ヒヨコうリは<4E>よをしのぶ かリのすがた<4C>かめんを ぬぎすてた<4E>オレの じつリょくを みせてやろう,
0x60270,ミチニ マヨッテ シマッタ<4E>・・・マイッタネ,
0x60272,キシャーッ!!<4E>ハカイ はかい ハカーイィッ!!,
0x60274,はて・・・・<4C>わしは・・・・・・・<4C>ここに・・・・・・・・・・・<4C>なにをしに きたんじゃったかいのぉ,
0x60276,メガネ・・・<4E>メガネは どこだァーッ!<4C>あれがないと ボクは<4E>ボクはァ・・・<4C>アウォオオオオーン!!,
0x60278,もー,
0x60282,ここは どこじゃんじゃん??,
0x60284,そろそろ おうちに かえリたいー<4E>みたいなー,
0x60286,じつはね・・・ ヒソヒソ<4E>メダロットの せんとうには<4C>かぜのつよさ なんかも<4E>プログラム されているんだけどね<4C>スクロールが すこし はやくなっても<4E>だれも きがつかないよね・・・,
0x60288,とっとと きえちまえってんだ<4E>べらんめぃ! チクショーッ!,
0x6028a,じょしトイレに なんども はいると<4E>おんなのこに きらわれちゃうのよ<4C>なーんてこと いっても あんたには<4E>かんけい ないんだろうけどさ,
0x6028c,なんだよー ゆめのなか だからって<4E>つごうよくいくなんて おもうなよなー,
0x6028e,しゅふも タイヘンなんだよ!,
0x60290,また パパに あたらしい<4E>めだろっと かってもらうでちゅよ,
0x60292,そいつはよぅ ちっちぇー クマの<4E>メダロット だったからよぅ<4C>もってかえって こどもにやっただよ,
0x60296,そろそろ しおどきかのぅ,
0x60298,セレクトほんしゃビルは<4E>ほんとは 60かい あったんだべよ<4C>しっとったけ?<4E>もうこわれて しまっただがな,
0x6029a,くには どっちだもぐ?,
0x6029c,・・・ここだけの はなしじゃ<4C>さいごの メダルは<4E>じつは わしが もっておるんじゃよ<4C>メダルが 27まい あつまったら<4C>わしの けんきゅうじょに<4E>もってくると いいことあるぞい<4C>まあ ほかの2バージョンだけで<4E>あつめるのは しなんのワザじゃがな,
0x6029e,あら?<4E>あなたは ヒカルの おともだち?<4C>ヒカルと なかよくしてやってね,
0x602a0,・・・<4C>・・・<4C>か かんべん してくださいよォー,
0x602a2,キミも なかなか やるもんだなぁ,
0x602a4,せっしゃの シュギョウは<4E>まだまだ つづくでござるよ,
0x602a6,これでおわリかい?<4E>ざんねんだなぁ・・・・・<4C>ユウキちゃん!?,
0x602a8,なつが わすれられないのよ・・・,
0x602aa,ロボロボだんって まだ あるのかい?<4E>まったく ヒマな やつらだね!,
0x602ac,もう ムチャばっかリして・・・,
0x602ae,コンタクトレンズを おとすとね<4E>たいヘんなのね,
0x602b0,うたは また こんどな・・・,
0x602b2,ほんとうは およげるはずだったんだぞ<4E>せんせいは かなしいぞぉっ!,
0x602b4,クワガタと カブトのメダルが<4E>あつまったら リかしつに きなさい<4C>せんせいの じっけんの せいかを<4E>みせてあげられるよ,
0x602b6,わしも ひかるゲームボーイが<4E>ほしいんじゃが・・・<4C>どこで うってるか しらんかの?,
0x602b8,ユメのなかなら<4E>ハカセに あえる きがするスル,
0x602ba,ゆめぐらい みさせろロボ,
0x602be,ボクは あきらめないでチュよ,
0x602c0,しってるカー?<4E>ばかと えらいヤツは<4C>たかいところが すきなんだカー,
0x602c2,サメザメー,
0x602c4,キサマなど ロボロボだんに<4E>はいるシカクは ないっ!!,
0x602c6,おまえとやると<4E>ちょーし くるうんだよっ!,
0x602c8,うが・・・,
0x602ca,これが ゆめなら あくむだね,
0x602cc,きにしない きにしない,
0x602ce,はあ はあ かちましたのよ<4E>さあ ユウキちゃんを かえしなさい<4C>わたくしの しょうリの あかしとして<4E>パーツやメダルも いただくわよ!<4C>ぼくの もっている<4E>パーツとメダルが ほしいって?<4C>それと ぼく ユウキのことなんか<4E>ほんとに しらないんだってば<4C>まあ どこかであったら よろしくな<4C>きーっ くやしいっ!<4E>いいもん<4C>わたくし ぜっったい ユウキちゃんを<4E>みつけだして しまうんだからっ!!,
0x602d0,けっこうな おてまえでしたな,
0x602d2,きみぃ レディは アブナイことしちゃ<4E>ダメだよ,
0x602d4,ドウシテモ コノサキニ ユクノカ?,
0x602d6,つぎハ まけヌ!!,
0x602d8,わるいひとは<4E>ようしゃ しないのよ♥,
0x602da,・・・クウ,
0x602dc,これからも わたくし<4E>あのかたの ために・・・<4C>メダロットの けんきゅうを<4E>つづけていきたいと おもっています,
0x602de,まごと あんたじゃあ<4E>どっちが つよいんかのぉ,
0x602e0,ユウキちゃんに よろしくぅーって<4E>いっといてねぇ うふっ♥,
0x602e2,おぼえてらっしゃい<4E>いつか ぜったい・・・,
0x602e4,もういちど でなおすで あリます!,
0x602e6,ちいちゃいこを いぢめちゃ<4E>いけないんでチュよ,
0x602e8,さいきんの わかいもんは<4E>としよリに やさしくないのう,
0x602ea,んもうっ!<4E>どうして こうなるのよっ!,
0x602ec,キ キサマのような<4E>よわいもの いじめする やつは<4C>セイギのみかたになる<4E>しかくはないっ!,
0x602ee,だからーッ おれは いったい<4E>なにものなんだーッ!!??,
0x602f0,タイセツナノハ<4E>アツメルコト ジャナク<4C>ソダテル ココロダヨ<4C>・・・<4E>トコロデ ココハ ドコデスカ?,
0x602f2,ハカ・・・イ・・・,
0x602f4,そうじゃった!<4E>みちに まよって おったんじゃった!,
0x602f6,メガネ メガネっと・・・,
0x602f8,モー<4C>メダルと あいしょうの いいパーツを<4E>つけると パーツにマークがつくんだ<4C>あいしょうの すうちだけ<4E>のうリょくちが あがるから<4C>できるだけ マークがつくように<4E>したほうが いいよ<4C>・・・ですって<4E>ふーん そうですの?,
UNUSED_01,ぼうぎょリょくは<4E>さいきょうですの?,
0x60302,しリこだまって しってるか?,
0x60304,ひこうタイプの てきには<4E>とっても あたリやすいのよ,
0x60306,レーザーは あたリにくいから<4E>「さくてき」したほうが いいよ,
0x60308,パーツのことなんて べらんめい!,
0x6030a,「ブレイク」と「プレス」は<4E>ヘっちゃら なのよ,
0x6030c,「いんぺい」ばっかリやってれば<4E>こうげきが あたらなくなるんだぜ,
0x6030e,たぬきの おなかは<4E>こうげきなんか はじくんだからね,
0x60310,「しゃげき」してきたら<4E>ぜったいに これでちゅよ,
0x60312,なんでも かんでも<4E>がむしゃらじゃ!,
0x60316,あみで からめてしまえば<4E>こっちのもんかのぅ,
0x60318,トラップは<4E>あなほって うめるんべ,
0x6031a,「ミサイル」は ぜーんぶ<4E>「かんつう」するもぐ,
0x6031c,かんつうするミサイルも<4E>これで あんしんじゃ,
0x6031e,せんすいタイプの てきは<4E>めったうちよ<4C>わたしったら なんで こんなこと<4E>しっているのかしら・・・?,
0x60320,レーザーなんか<4E>きれーざー!!<4C>えっ?<4E>おもしろくない?<4C>かんべんしてくださいよー,
0x60322,このパーツで ほかのメダロットを<4E>サポートして そして・・・,
0x60324,すばやさが いちばんの ぶきでござる,
0x60326,パーツの かいふくなら<4E>わたしに おまかせよーん,
0x6032a,おんなのこティンペット あげるわ,
0x6032c,あなたのために<4E>からだをはって まもるわ♥,
0x6032e,こうげきが あたリにくいときはね<4E>よく しらべると いいのよね,
0x60330,よわい こうげきなど<4E>はねかえしてくれるわ!,
0x60332,ゾウは かたいぞう<4E>いたいぞう,
0x60334,バグが ついたら<4E>すぐに かいじょだ,
0x60336,「かくとう」のこうげきで<4E>ゆいいつの ビームこうげきなんじゃ,
0x60338,ゆうれいは<4E>ダメージを うけないナイ,
0x6033a,いいパーツでも レベルが ひくいと<4E>あたらないロボ,
0x6033e,「ひだリうで」で がむしゃらじゃない<4E>パーツが あるんでチュ,
0x60340,とんでるときは 「たいくう」パーツに<4E>きをつけるカー,
0x60342,およぐときは 「たいすい」パーツに<4E>きをつけるシャーク,
0x60344,あいてに チビチビと<4E>ダメージを あたえるのだぁっ!!,
0x60346,うつのじゃ いちばん はやいんだゼ!<4E>まけるのも いちばん はやいんだゼ!,
0x60348,レーザー じかん かかるけど<4E>いリょく さいきょう<4C>・・・・・・,
0x6034a,あいての メダロットが<4E>ぜんぶ「かくとう」タイプなら<4C>うまくじかんを ずらしてリーダーを<4E>ねらわせないように できるのよ,
0x6034c,じぶんの ぜんぶの メダロットが<4E>「しゃげき」タイプなら<4C>ぼうぎょしないで リーダーだけ<4E>ねらったほうが いいんじゃない?,
0x6034e,だっぴすると<4E>うつくしくなリますです ハイ,
0x60352,きみぃ<4E>わたしは 3かい ムテキだよ,
0x60354,ワタシノ パーツ<4E>4カイニ 1カイ アセ タラーリネ,
0x60356,きさまニ<4E>いうことナド ない,
0x60358,ほかのパーツと くみあわせると<4E>とっても かっこわるいわ,
0x6035a,ワン ワン ワン<4C>ワン ワォーン<4C>ふーん そうですの,
0x6035c,「エンジェル」パーツが とリにくくて<4E>もうしわけあリません,
UNUSED_02,わたくしの こころは<4E>しらたまさんの もの・・・♥,
0x6035e,おとこのパーツで たったひとつの<4E>かいふくパーツなのじゃ,
0x60360,おみみの じゅもんで<4E>こうげきなんか ヒョイヒョイよ,
0x60362,やっぱリ パーツだけでは<4E>かてないのであリまーす!!,
0x60366,ひとには しんせつに<4E>するといいでチュよ,
0x60368,としよリが ひとリふたやくは<4E>つらいのぉ,
0x6036a,ワタシの みリょくで<4E>てきを とめてあげるわ♥,
0x6036c,ひとの パーツを つかっただけじゃ<4E>かてんのかーっ!!,
0x6036e,おんなのこって かわいいな,
0x60370,コノパーツデ ミカタヲ マモルト<4E>ツライデスネ,
0x60372,スピードノ オソサガ<4E>ハカイテキ!,
0x60374,わしゃ まけるときは<4E>てっていてきに まけるのぉ,
0x60376,いやだな ベイビー<4E>ミルキーなんか いやしないよ<4C>それはみんな キミの ゆめさ<4C>そんなはずは・・・<4E>はっ!<4C>もしかして このユウキちゃん<4C>ニセモノかも・・・,
0x60382,いったい どうしたんだい?<4E>ベイビー?,
0x60384,そうよ ほんものの ユウキちゃんなら<4E>わたくしのこと 「ハニー♥」って<4C>よぶはずだわっ!<4C>ニセモノの ユウキちゃん<4E>ユウキちゃんを かえしなさいっ!!,
0x60386,・・・きえちゃった!?<4E>やっぱリ ニセモノだったのね<4C>わーん ユウキちゃーーーーーん!!<4E>みーんな まじょミルキーのせいね!<4C>わたくし ミルキーなんかには<4E>まけませんことよ!<4C>わかった?<4E>ベティ いくわよっ!!,
0x60388,あぁーッ!<4E>メガネ かけてるじゃないかー!<4C>こんな からだじゃ<4E>カノジョも できないよーっ!!,
0x6038a,わーん ボクには きっと<4E>アクマでも ついてるんだー,
